,year,nger_name,scope1,scope2,energy_consumption,total_emissions
258,2010,auscan,144361.0,60.0,1981701.0,144421.0
259,2010,australia and new zealand banking,7126.0,160043.0,654413.0,167169.0
260,2010,australian postal,88275.0,221724.0,2141555.0,309999.0
261,2010,axia energy australia,488958.0,0.0,9652581.0,488958.0
262,2010,azsa,6117764.0,526177.0,9864248.0,6643941.0
263,2010,baiada,134785.0,170264.0,2197475.0,305049.0
264,2010,barrick (australia pacific ),190018.0,244699.0,4704787.0,434717.0
265,2010,barrick (pd) australia,161427.0,104433.0,3448488.0,265860.0
266,2010,bega cheese,41346.0,94877.0,1349124.0,136223.0
267,2010,bgc (australia),95994.0,65119.0,2147615.0,161113.0
268,2010,bhp billiton aluminium australia,2313184.0,350985.0,37414742.0,2664169.0
269,2010,bhp billiton energy coal australia,873293.0,56018.0,3466128.0,929311.0
270,2010,bhp billiton,5150942.0,1819255.0,39290140.0,6970197.0
271,2010,bhp billiton nickel operations,132110.0,3222.0,1643685.0,135332.0
272,2010,big ben  .,216370.0,29608.0,903323.0,245978.0
273,2010,billiton manganese australia,522231.0,174541.0,8218336.0,696772.0
274,2010,bluescope steel,10791351.0,1424605.0,129555224.0,12215956.0
275,2010,bm alliance coal operations,2469229.0,1067608.0,20250981.0,3536837.0
276,2010,boc,28381.0,640598.0,2733282.0,668979.0
277,2010,boeing australia,34464.0,54788.0,692761.0,89252.0
278,2010,boral 2,2328307.0,546048.0,,2874355.0
279,2010,bp regional australasia,1472407.0,477610.0,28725886.0,1950017.0
280,2010,bradken,29817.0,89723.0,944418.0,119540.0
281,2010,brickworks,293363.0,127345.0,6322368.0,420708.0
282,2010,brisbane city council1,222603.0,76827.0,2721895.0,299430.0
283,2010,building supplies,91697.0,320198.0,9322717.0,411895.0
284,2010,burrup fertilisers,1538899.0,0.0,30037216.0,1538899.0
285,2010,byrns smith unit trust,84113.0,7813.0,1225589.0,91926.0
286,2010,c s energy,16824919.0,98818.0,198800018.0,16923737.0
287,2010,cadbury australia,35438.0,56598.0,780491.0,92036.0
288,2010,cairnton,141365.0,96015.0,1130632.0,237380.0
289,2010,caledon coal,181627.0,14531.0,101383.0,196158.0
290,2010,caltex australia,1817628.0,312073.0,448489860.0,2129701.0
291,2010,cargill australia,59891.0,47464.0,846475.0,107355.0
292,2010,cement australia,2744673.0,262268.0,13581930.0,3006941.0
293,2010,centennial coal company,1985142.0,239621.0,1552207.0,2224763.0
294,2010,centro properties,2890.0,151880.0,622973.0,154770.0
295,2010,ceva,67562.0,21260.0,1051066.0,88822.0
296,2010,ch2m hill australia,264388.0,220.0,5151556.0,264608.0
297,2010,chedha,19247.0,1326616.0,4178109.0,1345863.0
298,2010,chevron australia,330061.0,4171.0,3644792.0,334232.0
299,2010,citic pacific mining management,166879.0,423.0,2537087.0,167302.0
300,2010,coalpac,91025.0,2041.0,316563.0,93066.0
301,2010,coca-cola amatil,54639.0,130757.0,1482864.0,185396.0
302,2010,comgen australia,379888.0,9226.0,1024030.0,389114.0
303,2010,commonwealth bank of australia,25054.0,407569.0,1898167.0,432623.0
304,2010,commonwealth scientific and industrial research organisation1,16381.0,114763.0,692589.0,131144.0
305,2010,competitive foods australia,13690.0,128497.0,746553.0,142187.0
306,2010,conoco phillips australia gas,1574820.0,2718.0,192255357.0,1577538.0
307,2010,coogee chemicals,32215.0,119496.0,3111996.0,151711.0
308,2010,country energy,59018.0,871881.0,4118209.0,930899.0
309,2010,crane,15697.0,98938.0,657891.0,114635.0
310,2010,cristal australia,49250.0,53441.0,905772.0,102691.0
311,2010,crown,31357.0,144129.0,1056976.0,175486.0
312,2010,csr,631392.0,431932.0,52212722.0,1063324.0
313,2010,d.m. & m.t. nolan .,144713.0,3863.0,2336873.0,148576.0
314,2010,david jones,4850.0,104448.0,419571.0,109298.0
315,2010,dbngp (wa) transmission,355676.0,1792.0,6339440.0,357468.0
316,2010,delta electricity,20453113.0,233034.0,233568391.0,20686147.0
317,2010,devereaux,166162.0,13822.0,1500211.0,179984.0
318,2010,dexus,7871.0,133822.0,612409.0,141693.0
319,2010,donaldson coal,94128.0,12246.0,269470.0,106374.0
320,2010,doral mineral industries,18481.0,69791.0,588016.0,88272.0
321,2010,downer edi,209004.0,45462.0,10139177.0,254466.0
322,2010,ecogen,434502.0,29698.0,8649319.0,464200.0
323,2010,electranet,1568.0,240720.0,1137091.0,242288.0
324,2010,electricity generation  t/a verve energy,8418390.0,6014.0,107524921.0,8424404.0
325,2010,electricity networks 1,22164.0,897453.0,4126013.0,919617.0
326,2010,energex,143827.0,1315254.0,8478472.0,1459081.0
327,2010,energy developments,1045811.0,2806.0,23655245.0,1048617.0
328,2010,energyaustralia1,29755.0,1247933.0,5451397.0,1277688.0
329,2010,enhance place .,417219.0,37.0,5796093.0,417256.0
330,2010,envestra,607017.0,42.0,197.0,607059.0
331,2010,envirogen,129409.0,32.0,2300038.0,129441.0
332,2010,eraring energy,12067677.0,49594.0,135012143.0,12117271.0
333,2010,ergon energy,97581.0,831799.0,4771533.0,929380.0
334,2010,erm kwinana,788365.0,634.0,15415954.0,788999.0
335,2010,etsa utilities,12797.0,533794.0,2651255.0,546591.0
336,2010,exxonmobil australia,2578735.0,260236.0,630356337.0,2838971.0
337,2010,fairfax media,7197.0,89997.0,459563.0,97194.0
338,2010,farstad shipping (indian pacific),166623.0,0.0,2383732.0,166623.0
339,2010,felix resources,162530.0,22113.0,1248912.0,184643.0
340,2010,fletcher building (australia),81844.0,247926.0,3546260.0,329770.0
341,2010,food investments p/l,99765.0,196079.0,2391438.0,295844.0
342,2010,ford motor company of australia,33842.0,201248.0,1219581.0,235090.0
343,2010,fortescue metals,444705.0,39714.0,6663106.0,484419.0
344,2010,foster's,78223.0,155676.0,1683584.0,233899.0
345,2010,frequency infrastructure australia,1907.0,162098.0,672042.0,164005.0
346,2010,fulton hogan australia /,75988.0,16541.0,7391231.0,92529.0
347,2010,general motors australia,32354.0,118459.0,1129461.0,150813.0
348,2010,gladstone ports,33056.0,71682.0,771459.0,104738.0
349,2010,global switch australia,0.0,101422.0,410245.0,101422.0
350,2010,gold fields australia,97570.0,195533.0,2329395.0,293103.0
351,2010,goldfields power,204732.0,0.0,3967626.0,204732.0
352,2010,goodman fielder,75569.0,93240.0,1573545.0,168809.0
353,2010,gpt management,17331.0,161585.0,808969.0,178916.0
354,2010,graincorp,51269.0,133760.0,1341051.0,185029.0
355,2010,grange resources,196376.0,53398.0,4065160.0,249774.0
356,2010,great energy alliance,19797636.0,231396.0,219375235.0,20029032.0
357,2010,gujarat nre coking coal,786245.0,48504.0,231934.0,834749.0
358,2010,hanson australia (),169774.0,61916.0,2078250.0,231690.0
359,2010,harvey norman,26095.0,153927.0,939392.0,180022.0
360,2010,hcph,90112.0,39599.0,6342631.0,129711.0
361,2010,healthscope,11372.0,99888.0,606950.0,111260.0
362,2010,heinz watties,44410.0,45597.0,795146.0,90007.0
363,2010,holcim participations (australia),186702.0,81108.0,3106125.0,267810.0
364,2010,holiday inns  (australia),14159.0,97427.0,662076.0,111586.0
365,2010,honan,342065.0,220495.0,5291062.0,562560.0
366,2010,hrl,2474092.0,179180.0,32129829.0,2653272.0
367,2010,hunter water,34802.0,66134.0,359668.0,100936.0
368,2010,hydro aluminium kurri kurri,366598.0,2509193.0,13756568.0,2875791.0
369,2010,ibm a/nz,1192.0,98735.0,378567.0,99927.0
370,2010,icc,168832.0,2021.0,2816398.0,170853.0
371,2010,idemitsu australia resources,439876.0,110259.0,3411644.0,550135.0
372,2010,iluka resources,633799.0,243839.0,8745443.0,877638.0
373,2010,incitec pivot 1,987302.0,173768.0,24070980.0,1161070.0
374,2010,inghams enterprises,71831.0,213800.0,1934116.0,285631.0
375,2010,integral energy australia,19848.0,672021.0,2894718.0,691869.0
376,2010,international energy services,150235.0,2296.0,2160575.0,152531.0
377,2010,international power (australia),17247970.0,312865.0,199368414.0,17560835.0
378,2010,ipmg,15743.0,83737.0,618859.0,99480.0
379,2010,isaac plains coal management,101766.0,11550.0,865389.0,113316.0
380,2010,ispt,5120.0,94023.0,442162.0,99143.0
381,2010,james hardie aust,23219.0,69268.0,707892.0,92487.0
382,2010,jbs holdco australia,184613.0,159812.0,2249435.0,344425.0
383,2010,jellinbah,193485.0,7908.0,1718503.0,201393.0
384,2010,jet systems,120739.0,2008.0,1815974.0,122747.0
385,2010,john swire & sons,14758.0,85651.0,535470.0,100409.0
386,2010,kagara,41442.0,48708.0,789798.0,90150.0
387,2010,kalgoorlie consolidated gold mines,227996.0,319917.0,4681820.0,547913.0
388,2010,kimberly clark pacific,119544.0,250559.0,4754826.0,370103.0
389,2010,koppers australia,148904.0,35116.0,4234529.0,184020.0
390,2010,leighton,684758.0,243487.0,7811131.0,928245.0
391,2010,lend lease,23731.0,118689.0,813650.0,142420.0
392,2010,lgl australian,18686.0,97564.0,641954.0,116250.0
393,2010,linfox,215728.0,48982.0,3281256.0,264710.0
394,2010,lion nathan national foods,103998.0,287951.0,3136840.0,391949.0
395,2010,loy yang,10186782.0,20296.0,116129307.0,10207078.0
396,2010,lyondellbasell australia (),8056.0,136989.0,16875871.0,145045.0
397,2010,macarthur coal,302491.0,60606.0,2515673.0,363097.0
398,2010,macquarie generation,23408791.0,175836.0,262206181.0,23584627.0
399,2010,macquarie,5961.0,92386.0,460470.0,98347.0
