,year,nger_name,scope1,scope2,energy_consumption,total_emissions,morningstar_name,match_score,ticker
1586,2013,lindsay australia,89896.0,0.0,1306202.0,898960.0,lindsay australia,100.0,LAU
1671,2013,redbank energy,1138648.0,97.0,9336003.0,113864897.0,redbank energy,100.0,AEJ
1784,2014,aditya birla minerals,81805.0,6011.0,1592253.0,818056011.0,aditya birla minerals,100.0,ABY1
1785,2014,agl energy,19622185.0,306355.0,165131979.0,19622185306355.0,agl energy,100.0,AGL
1794,2014,amp,8841.0,133992.0,635474.0,8841133992.0,amp,100.0,AMP
1799,2014,ardent leisure,2817.0,52915.0,271635.0,281752915.0,ardent leisure,100.0,ALG
1802,2014,arrow energy,1009399.0,41821.0,14287139.0,100939941821.0,arrow energy,100.0,AOE
1804,2014,asaleo care,47720.0,154553.0,1402255.0,47720154553.0,asaleo care,100.0,AHY
1805,2014,asciano,1064681.0,166054.0,15974369.0,1064681166054.0,asciano,100.0,AIO
1808,2014,atlas iron,95595.0,4067.0,1403587.0,955954067.0,atlas iron,100.0,AGO
1809,2014,aurizon,765258.0,427317.0,12785920.0,765258427317.0,aurizon,100.0,AZJ
1814,2014,ausnet services,156726.0,574905.0,2043304.0,156726574905.0,ausnet services,100.0,AST
1823,2014,automotive,173779.0,73359.0,2793490.0,17377973359.0,automotive,100.0,AHG
1832,2014,beach energy,62696.0,614.0,446972.0,62696614.0,beach energy,100.0,BPT
1835,2014,bega cheese,48193.0,94810.0,1537676.0,4819394810.0,bega cheese,100.0,BGA
1846,2014,bluescope steel,5699865.0,917908.0,69324056.0,5699865917908.0,bluescope steel,100.0,BSL
1852,2014,boral,1979924.0,443323.0,17015736.0,1979924443323.0,boral,100.0,BLD
1855,2014,bradken,27683.0,72440.0,839387.0,2768372440.0,bradken,100.0,BKN
1856,2014,brickworks,224005.0,96020.0,4596110.0,22400596020.0,brickworks,100.0,BKW
1863,2014,cbh resources,10248.0,84972.0,501215.0,1024884972.0,cbh resources,100.0,CBH1
1866,2014,centennial coal company,1302610.0,282518.0,1615454.0,1302610282518.0,centennial coal company,100.0,CEY
1868,2014,charter hall,6007.0,103724.0,476254.0,6007103724.0,charter hall,100.0,CHC
1876,2014,coca-cola amatil,47223.0,144555.0,1409997.0,47223144555.0,coca-cola amatil,100.0,CCL
1880,2014,commonwealth bank of australia,11691.0,158881.0,828400.0,11691158881.0,commonwealth bank of australia,100.0,CBA
1891,2014,crown resorts,33748.0,140991.0,1028316.0,33748140991.0,crown resorts,100.0,CWN
1892,2014,csl,13910.0,70803.0,487385.0,1391070803.0,csl,100.0,CSL
1893,2014,csr,308605.0,226040.0,5933439.0,308605226040.0,csr,100.0,CSR
1897,2014,david jones,5013.0,82690.0,355277.0,501382690.0,david jones,100.0,DJS
1901,2014,dexus,10745.0,118875.0,591107.0,10745118875.0,dexus,100.0,DXS
1904,2014,downer edi,155319.0,44406.0,2996080.0,15531944406.0,downer edi,100.0,DOW
1915,2014,energy developments,1275026.0,2385.0,19042697.0,12750262385.0,energy developments,100.0,ENE1
1918,2014,erm power,92966.0,5622.0,1326378.0,929665622.0,erm power,100.0,EPW
1921,2014,evolution mining,75487.0,206214.0,2054394.0,75487206214.0,evolution mining,100.0,EVN
1924,2014,fairfax media,8357.0,60572.0,361801.0,835760572.0,fairfax media,100.0,FXJ
1926,2014,federation,3073.0,103185.0,448470.0,3073103185.0,federation,100.0,FDR1
1932,2014,fortescue metals,1563779.0,289920.0,24205083.0,1563779289920.0,fortescue metals,100.0,FMG
1933,2014,foster's,39741.0,82611.0,1016698.0,3974182611.0,foster's,100.0,FGL1
1947,2014,goodman fielder,26433.0,55199.0,726327.0,2643355199.0,goodman fielder,100.0,GFF
1949,2014,graincorp,104691.0,177598.0,2455325.0,104691177598.0,graincorp,100.0,GNC
1950,2014,grange resources,206635.0,48325.0,4250339.0,20663548325.0,grange resources,100.0,GRR
1956,2014,harvey norman,5797.0,139417.0,666727.0,5797139417.0,harvey norman,100.0,HVN
1959,2014,hillgrove resources,32048.0,27046.0,723354.0,3204827046.0,hillgrove resources,100.0,HGO
1962,2014,hrl,487922.0,57942.0,10960751.0,48792257942.0,hrl,100.0,HRL
1970,2014,iluka resources,93738.0,78402.0,1785305.0,9373878402.0,iluka resources,100.0,ILU
1971,2014,incitec pivot,1316973.0,185229.0,29456294.0,1316973185229.0,incitec pivot,100.0,IPL
1976,2014,investa property,2919.0,90121.0,421182.0,291990121.0,investa property,100.0,IPG2
1997,2014,lindsay australia,93611.0,0.0,1360838.0,936110.0,lindsay australia,100.0,LAU
2196,2015,aditya birla minerals,73376.0,4229.0,1417985.0,733764229.0,aditya birla minerals,100.0,ABY1
2197,2015,aeris resources,17815.0,65459.0,528890.0,1781565459.0,aeris resources,100.0,AIS
2198,2015,agl energy,38346476.0,495693.0,300106540.0,38346476495693.0,agl energy,100.0,AGL
2206,2015,amp,9021.0,112962.0,563253.0,9021112962.0,amp,100.0,AMP
2210,2015,ardent leisure,2677.0,55581.0,283328.0,267755581.0,ardent leisure,100.0,ALG
2213,2015,arrow energy,1727037.0,33451.0,24713923.0,172703733451.0,arrow energy,100.0,AOE
2215,2015,asaleo care,44016.0,156334.0,1331875.0,44016156334.0,asaleo care,100.0,AHY
2216,2015,asciano,1034029.0,167760.0,15556729.0,1034029167760.0,asciano,100.0,AIO
2220,2015,atlas iron,58604.0,6195.0,883268.0,586046195.0,atlas iron,100.0,AGO
2221,2015,aurizon,693224.0,429103.0,11856702.0,693224429103.0,aurizon,100.0,AZJ
2225,2015,ausnet services,152652.0,640784.0,2200014.0,152652640784.0,ausnet services,100.0,AST
2233,2015,automotive,191147.0,76417.0,3057307.0,19114776417.0,automotive,100.0,AHG
2239,2015,beach energy,52725.0,354.0,354152.0,52725354.0,beach energy,100.0,BPT
2242,2015,bega cheese,48447.0,95577.0,1560227.0,4844795577.0,bega cheese,100.0,BGA
2251,2015,bluescope steel,5588003.0,946532.0,68341573.0,5588003946532.0,bluescope steel,100.0,BSL
2256,2015,boral,1712259.0,388936.0,14116876.0,1712259388936.0,boral,100.0,BLD
2260,2015,bradken,21865.0,52782.0,658296.0,2186552782.0,bradken,100.0,BKN
2261,2015,brickworks,236645.0,103271.0,5124454.0,236645103271.0,brickworks,100.0,BKW
2262,2015,broadspectrum,52619.0,23265.0,911374.0,5261923265.0,broadspectrum,100.0,BRS
2267,2015,cbh resources,9179.0,76132.0,452456.0,917976132.0,cbh resources,100.0,CBH1
2270,2015,centennial coal company,1459834.0,279808.0,1568924.0,1459834279808.0,centennial coal company,100.0,CEY
2272,2015,charter hall,5965.0,83916.0,395789.0,596583916.0,charter hall,100.0,CHC
2275,2015,cimic,77412.0,72142.0,1434467.0,7741272142.0,cimic,100.0,CIM
2279,2015,cleanaway waste management,456756.0,31841.0,3260839.0,45675631841.0,cleanaway waste management,100.0,CWY
2282,2015,coca-cola amatil,49239.0,147631.0,1489707.0,49239147631.0,coca-cola amatil,100.0,CCL
