,ticker,morningstar_name,year,capex,eoy_price,eps,ltdebt,marketcap,ppe,revenue,roe,stdebt,assets,liabilities
249,ALK,alkane resources,2000,-1475484.0,0.22,0.55,,24599624.28,745206.0,13912013.0,0.0339,,17669352.0,1527380.0
250,ALL,aristocrat leisure,2000,-17058000.0,5.17,15.42,4604000.0,2184494748.51,72648000.0,541851000.0,0.4089,5656000.0,328945000.0,170290000.0
251,ALM,alma metals,2000,,,,,,,,,,,
252,ALM2,aluminex resources,2000,,,,,,,,,,,
253,ALN,alinta,2000,,,0.0,,,,337400000.0,,,,
254,ALO,alloggio,2000,-3696000.0,0.7,-9.99,3300000.0,23228038.4,5329000.0,832343000.0,-0.025099999999999997,9837000.0,74797000.0,57057000.0
255,ALO1,auto,2000,-3696000.0,0.7,-9.99,3300000.0,23228038.4,5329000.0,832343000.0,-0.025099999999999997,9837000.0,74797000.0,57057000.0
256,ALQ,als,2000,-19262000.0,4.45,39.44,47790000.0,138085885.2,65863000.0,272720000.0,0.1364,5168000.0,189569000.0,100960000.0
257,ALQ1,australian liquor,2000,-262000.0,0.9,-26.55,10640000.0,38695960.8,2353000.0,8175000.0,-0.037200000000000004,197000.0,51692000.0,17672000.0
258,ALS,alesco,2000,-8871000.0,3.13,27.01,81926000.0,105481000.0,37873000.0,510572000.0,0.1013,54943000.0,341598000.0,246558000.0
259,ALT,analytica,2000,,,,,,,,,,,
260,ALU,altium,2000,-1013000.0,5.0,12.76,236000.0,343767935.0,1553000.0,32629000.0,0.10279999999999999,566000.0,88532000.0,10513000.0
261,ALV,alvo minerals,2000,,,,,,,,,,,
262,ALW,alphawest,2000,-591238.0,0.2,-1.0,119466.0,5408745.21,1966134.0,10739662.0,0.0435,260097.0,8452748.0,1535266.0
263,ALX,atlas arteria,2000,,,,,,,,,,,
264,ALY,alchemy resources,2000,,,,,,,,,,,
265,ALZ,australand property,2000,-884000.0,1.24,16.28,372712000.0,600737914.4,,,0.1174,,1518758000.0,853156000.0
266,AM7,arcadia minerals,2000,,,,,,,,,,,
267,AMA,ama,2000,,,,,,,,,,,
268,AMB,ambition,2000,-721500.0,0.8,-10.45,,12196000.0,829561.0,16758072.0,-0.1686,,9977930.0,1717525.0
269,AMC,amcor plc,2000,-324800000.0,5.84,46.07,1415800000.0,3645224937.09,2440700000.0,7292300000.0,0.1562,229400000.0,4955700000.0,3098700000.0
270,AMD,arrow minerals,2000,,,,,,,,,,,
271,AME,alto metals,2000,,,,,,,,,,,
272,AMH,amcil,2000,0.0,2.72,7.97,,275103520.0,,,0.0259,,294088000.0,19238000.0
273,AMI,aurelia metals,2000,,,,,,,,,,,
274,AML,aeon metals,2000,,,,,,,,,,,
275,AMM,armada metals,2000,-2930656.0,1.56,-3.42,524015.0,156360998.04,22899023.0,1438763.0,-0.0444,218875.0,40829097.0,3859219.0
276,AMM1,amcom telecommunications,2000,-2930656.0,1.56,-3.42,524015.0,156360998.04,22899023.0,1438763.0,-0.0444,218875.0,40829097.0,3859219.0
277,AMN,agrimin,2000,,,,,,,,,,,
278,AMO,ambertech,2000,,,,,,,,,,,
279,AMP,amp,2000,-1827000000.0,20.22,105.23,5009000000.0,22336048111.47,651000000.0,77211000000.0,0.0704,10293000000.0,177147000000.0,160224000000.0
280,AMS,atomos,2000,,,,,,,,,,,
281,AMT,allegra orthopaedics,2000,,,,,,,,,,,
282,AMV,alamain investments,2000,-5735.0,0.03,-0.63,1692745.0,2081248.38,9326725.0,5355854.0,-0.0106,9072265.0,18339161.0,11262094.0
283,AMX,aerometrex,2000,,,,,,,,,,,
284,AMX2,ampella mining,2000,,,,,,,,,,,
285,AN1,anagenics,2000,,,,,,,,,,,
286,ANB,australia new agribusiness & chemical,2000,,,,,,,,,,,
287,ANC,angus & coote (),2000,-7377000.0,3.0,39.98,3222000.0,35816493.0,25405000.0,208399000.0,0.0852,37624000.0,93474000.0,48912000.0
288,AND,ansarada,2000,-1625976.0,0.1,-8.15,,3543015.52,460847.0,1564169.0,-0.0213,,7557164.0,567718.0
289,AND2,andean resources,2000,-1625976.0,0.1,-8.15,,3543015.52,460847.0,1564169.0,-0.0213,,7557164.0,567718.0
290,ANE,auspine,2000,-11768000.0,2.25,39.04,48250000.0,128175189.75,149839000.0,268946000.0,0.12050000000000001,3834000.0,328402000.0,141289000.0
291,ANG,austin engineering,2000,,,,,,,,,,,
292,ANI,australian industrial reit,2000,,,,,,,,,,,
293,ANL,amani gold,2000,,,,,,,,,,,
294,ANN,ansell,2000,-161800000.0,1.49,382.84,627700000.0,1554353950.79,658200000.0,5814200000.0,0.1069,1889400000.0,5085700000.0,3585800000.0
295,ANO,advance zinctek,2000,,,,,,,,,,,
296,ANP,antisense therapeutics,2000,,,,,,,,,,,
297,ANQ,anaeco,2000,,,,,,,,,,,
298,ANR,anatara lifesciences,2000,,,,,,,,,,,
299,ANS,austsino resources,2000,0.0,0.07,-0.61,,12251540.0,42593.0,267532.0,-0.1479,,4424190.0,66582.0
300,ANW,aus tin mining,2000,,,,,,,,,,,
301,ANX,anax metals,2000,,,,,,,,,,,
302,ANZ,australia & new zealand banking,2000,-275000000.0,13.28,105.97,,21101886228.96,,,0.1739,,172467000000.0,162660000000.0
303,AO1,assetowl,2000,,,,,,,,,,,
304,AOA,ausmon resources,2000,,,,,,,,,,,
305,AOD,aurora dividend income trust (managed fund),2000,,,,,,,,,,,
306,AOE,arrow energy,2000,-223602.0,,-0.96,,,0.0,,-2.4596,40820.0,767025.0,427423.0
307,AOF,australian unity office property fund,2000,,,,,,,,,,,
308,AOG,aveo,2000,-49513000.0,0.92,15.27,98878000.0,103985722.28,,,0.1201,,335053000.0,192199000.0
309,AOG1,australian oil and gas,2000,-5218000.0,1.32,-8.41,,61857205.08,80101000.0,70269000.0,-0.0431,13000000.0,132619000.0,40743000.0
310,AOH,altona mining,2000,,,,,,,,,,,
311,AOK,austex oil,2000,,,,,,,,,,,
312,AON,apollo minerals,2000,,,,,,,,,,,
313,AOP,apollo consolidated,2000,,,,,,,,,,,
314,AOR,auriongold,2000,-89527000.0,1.37,16.21,147211000.0,225306201.46,235018000.0,308313000.0,0.1704,22000.0,462949000.0,308373000.0
