ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ADG,Adtrans Group Limited,Annual Profit and Loss - Total Revenue Excluding Int,"397,050,916.00","398,059,000.00","470,176,000.00","525,729,000.00","578,833,000.00","631,329,000.00","636,830,000.00","643,935,000.00","755,432,000.00","683,917,000.00","698,804,000.00", , , , , , , , , , , , 
ADH,Adairs Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , ,--,"211,044,000.00","253,588,000.00","265,154,000.00","314,769,000.00","344,700,000.00","389,139,000.00","499,905,000.00","564,941,000.00"
ADI2,Adelphi Energy Limited,Annual Profit and Loss - Total Revenue Excluding Int,"169,000.00","1,353,000.00","1,028,121.00","411,395.00","6,130.00","3,394.00","24,062.00","311,315.00","726,308.00","1,473,145.00", , , , , , , , , , , , , 
ADN,Andromeda Metals Limited,Annual Profit and Loss - Total Revenue Excluding Int,"27,247.00","92,725.00","20,365.00","38,343.00","296,686.00","102,913.00","25,143.00","70,056.00","4,967.00","4,784,297.00","47,802.00",--,"118,447.00","20,580.00",250.00,"127,453.00","88,150.00","141,606.00","207,564.00",486.00,"748,500.00","52,825.00", 
ADO,AnteoTech Limited,Annual Profit and Loss - Total Revenue Excluding Int,264.00,"55,880.00","1,346,896.00","4,106,855.00","4,402,484.00","2,008,728.00","811,617.00","1,856,642.00","1,135,462.00","674,615.00","572,143.00","813,814.00","1,194,391.00","1,674,709.00","2,462,755.00","2,309,829.00","14,440,998.00","2,601,916.00","997,341.00","278,713.00","1,265,965.00","2,412,847.00","2,770,763.00"
ADP,AMP Diversified Property Trust,Annual Profit and Loss - Total Revenue Excluding Int,--,--,--,--, , , , , , , , , , , , , , , , , , , 
ADQ,ADG Global Supply Limited,Annual Profit and Loss - Total Revenue Excluding Int,"55,051,603.00","55,322,447.00","49,865,137.00","46,858,428.00","40,456,610.00","40,869,377.00","36,690,079.00","4,432,655.00","18,475,063.00","47,506,389.00","35,885,667.00","52,295,722.00","83,716,000.00","79,384,000.00","37,015,000.00","21,868,000.00", , , , , , , 
ADR,Adherium Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , ,--,"2,916,000.00","2,756,000.00","6,370,000.00","3,568,000.00","2,218,000.00","832,000.00","2,156,000.00"
ADS,Adslot Ltd,Annual Profit and Loss - Total Revenue Excluding Int,"2,276,176.00","3,029,190.00","1,838,197.00","464,490.00","1,127,113.00","2,067,424.00","1,664,929.00","8,356,767.00","12,157,447.00","21,831,260.00","5,451,807.00","4,521,552.00","4,450,008.00","4,202,947.00","5,454,275.00","7,040,742.00","8,473,936.00","8,682,880.00","7,853,272.00","10,216,485.00","10,524,911.00","9,614,730.00","10,980,132.00"
ADT,Adriatic Metals Plc,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , ,--,--,--,"862,662.00","2,377,146.00", 
ADT1,Advent Limited,Annual Profit and Loss - Total Revenue Excluding Int,--,--,--,--,--,--,--,--, , , , , , , , , , , , , , , 
ADU,Adamus Resources Limited,Annual Profit and Loss - Total Revenue Excluding Int,--,453.00,"10,087.00",--,--,"148,330.00","488,272.00",--,370.00,454.00,"2,250,600.00","33,228,210.00", , , , , , , , , , , 
ADV,Ardiden Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , ,--,--,--,716.00,--,"32,049.00","50,656.00","364,551.00","291,829.00","90,619.00","101,978.00",--,"2,400.00",--,--,--,"200,000.00", 
ADV1,Australian Development Capital Fund,Annual Profit and Loss - Total Revenue Excluding Int,"14,113.00","9,210.00",--,--, , , , , , , , , , , , , , , , , , , 
