ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACE,Acusensus Limited,Annual Balance Sheet - NCA PP&E,"292,949.00","756,951.00","1,111,664.00","542,241.00","292,768.00","905,447.00","937,546.00","3,616,527.00","4,186,297.00","418,926.00","275,300.00","277,522.00",--,--,--,--, , , , , , , 
ACF,Acrow Formwork and Construction Services Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , ,"14,750.00","245,373.00","156,680.00","85,372,939.00","163,023,255.00","101,795,148.00","1,404,458.00","130,208.00","13,466.00",0.00,"31,710,998.00","46,992,624.00","108,432,088.00","111,817,790.00","119,969,156.00"
ACL,Australian Clinical Labs Limited,Annual Balance Sheet - NCA PP&E, , , ,"3,505,505.00","2,620,000.00","1,488,000.00","1,066,000.00","1,282,000.00","1,179,000.00","924,000.00","574,000.00","725,000.00","391,000.00","426,000.00","307,000.00","162,000.00",--,0.00,0.00,0.00,"194,600,000.00","228,944,000.00","310,200,000.00"
ACN,Acer Energy Limited,Annual Balance Sheet - NCA PP&E, , , ,0.00,"102,053.00","215,652.00","172,640.00","114,958.00","2,537,770.00","1,795,572.00","1,451,693.00","1,901,000.00","2,362,000.00", , , , , , , , , , 
ACO,Australian Careers Network Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , ,"3,558,000.00","4,600,000.00", , , , , , , 
ACP,Audalia Resources Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , ,0.00, ,0.00,0.00,"15,081.00","40,737.00","33,471.00","22,041.00","13,491.00","10,045.00","7,404.00","4,655.00", 
ACQ,Acorn Capital Investment Fund Limited ,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , ,--,--,--,--,--,--,--,--,--
ACR,Acrux Limited,Annual Balance Sheet - NCA PP&E, , ,"309,720.00","1,280,782.00","1,039,278.00","1,156,875.00","1,248,000.00","1,052,000.00","912,000.00","1,772,000.00","1,024,000.00","126,000.00","110,000.00","93,000.00","78,000.00","92,000.00","262,000.00","778,000.00","845,000.00","906,000.00","3,100,000.00","2,644,000.00","2,556,000.00"
ACS,Accent Resources N.L.,Annual Balance Sheet - NCA PP&E, , , , , ,"2,650,000.00","4,649.00","12,614.00","87,734.00","133,549.00","131,185.00","92,682.00","70,440.00","52,508.00","45,245.00","41,365.00","30,471.00","122,194.00","111,970.00","102,146.00","90,840.00","246,868.00", 
ACU,Acumentis Group Limited,Annual Balance Sheet - NCA PP&E,"98,889.00","89,620.00","80,637.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
