ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACQ,Acorn Capital Investment Fund Limited ,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , ,"51,964,000.00","47,510,000.00","54,607,000.00","54,214,000.00","74,051,000.00","65,728,000.00","64,717,000.00","115,368,000.00","104,047,000.00"
ACR,Acrux Limited,Annual Balance Sheet - Total Assets, , ,"18,355,576.00","12,846,083.00","9,757,512.00","31,093,624.00","23,234,000.00","20,369,000.00","41,267,000.00","34,950,000.00","83,605,000.00","58,995,000.00","58,499,000.00","52,895,000.00","53,221,000.00","48,495,000.00","53,371,000.00","47,306,000.00","32,490,000.00","24,433,000.00","17,836,000.00","23,327,000.00","14,302,000.00"
ACS,Accent Resources N.L.,Annual Balance Sheet - Total Assets, , , , , ,"5,722,231.00","4,737,576.00","4,505,364.00","13,865,264.00","12,153,042.00","17,115,502.00","22,138,367.00","22,219,332.00","21,514,932.00","18,795,603.00","4,890,455.00","6,652,650.00","6,402,711.00","5,401,498.00","3,563,417.00","4,773,283.00","6,009,753.00", 
ACU,Acumentis Group Limited,Annual Balance Sheet - Total Assets,"3,542,207.00","3,942,382.00","5,875,469.00","4,558,538.00","2,988,533.00","11,414,342.00","13,156,367.00","6,905,064.00","2,212,829.00","1,157,960.00","54,265.00","1,048,483.00","800,815.00","362,435.00","233,808.00","4,102,561.00","1,813,928.00","2,897,791.00","40,761,000.00","36,861,000.00","41,091,000.00","31,459,000.00","38,938,000.00"
ACW,Actinogen Medical Limited,Annual Balance Sheet - Total Assets, , , , , , , , ,"2,941,506.00","2,007,649.00","1,341,837.00","1,140,807.00","465,799.00","275,672.00","1,261,739.00","15,579,248.00","12,949,553.00","10,210,025.00","18,026,164.00","16,221,941.00","11,936,173.00","18,378,402.00","23,306,351.00"
ACX,Aconex Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , ,"53,700,000.00","67,004,000.00","249,639,000.00","230,287,000.00", , , , , 
ACY,Australian Commercial Property Trust ,Annual Balance Sheet - Total Assets,"234,977,000.00",0.00, , , , , , , , , , , , , , , , , , , , , 
AD1,AD1 Holdings Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"8,951,609.00","7,975,491.00","3,661,699.00","3,614,088.00","3,262,508.00","2,963,697.00","9,127,241.00","14,412,194.00"
AD8,Audinate Group limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , ,"19,503,000.00","29,068,168.00","24,739,841.00","46,538,000.00","50,303,000.00","89,806,000.00","90,438,000.00"
ADA,Adacel Technologies Limited,Annual Balance Sheet - Total Assets,"69,484,000.00","63,795,000.00","51,380,000.00","63,091,000.00","39,034,000.00","24,528,000.00","28,994,000.00","23,176,000.00","23,344,000.00","29,602,000.00","28,919,000.00","19,558,000.00","24,784,000.00","23,312,000.00","19,593,000.00","27,605,000.00","32,259,000.00","37,814,000.00","37,910,000.00","26,267,000.00","37,822,000.00","39,902,000.00",--
