ASX Code,Company Name
CL8,Carly Holdings Limited
CLA,Celsius Resources Limited
CLB,Candy Club Holdings Limited
CLDD,BetaShares Cloud Computing ETF
CLE,Cyclone Metals Limited
CLF,Concentrated Leaders Fund Limited
CLG,Close the Loop Ltd
CLH,Collection House Limited
CLK,Cypress Lakes Group Limited
CLNE,VanEck Global Clean Energy ETF
CLO,Clough Limited
CLR,Carabella Resources Limited
CLS,CL Asset Holdings Limited
CLT,Cellnet Group Limited
CLU,Cluey Ltd
CLV,Clover Corporation Limited
CLW,Charter Hall Long Wale REIT
CLX,CTI Logistics Limited
CLZ,Classic Minerals Limited
CM1,Coolgardie Minerals Limited
CM8,Crowd Media Holdings Limited
CMC,China Magnesium Corporation Limited
CMD,Cassius Mining Limited
CMG,Critical Minerals Group Limited
CMG1,Chandler Macleod Group Limited
CMJ,Consolidated Media Holdings Limited
CML,Chase Mining Corporation Limited
CMM,Capricorn Metals Ltd
CMO,Cosmo Metals Limited
CMP,Compumedics Limited
CMR,Compass Resources Limited
CMV,CMA Corporation Limited
CMW,Cromwell Property Group
CMX,ChemX Materials Limited
CMY,Capital Mining Limited
CNA1,Coal & Allied Industries Limited
CNB,Carnaby Resources Limited
CNB1,CIC Australia Limited
CNC,Consolidated Capital Investments Limited
CNEW,VanEck China New Economy ETF
CNH,China Steel Australia Limited
CNI,Centuria Capital Group
CNJ,Conico Ltd
CNP,CNPR Group
CNQ,Clean TeQ Water Limited
CNR,Cannon Resources Limited
CNR2,Coonawarra Australia Property Trust
CNT,Centamin Egypt Limited
CNU,Chorus Limited
CNW,Cirrus Networks Holdings Limited
CNX,Carbon Energy Limited
CO1,Cobalt One Limited
COB,Cobalt Blue Holdings Limited
COD,Coda Minerals Ltd
COE,Cooper Energy Limited
COF,Centuria Office REIT
COF1,Coffey International Limited
COG,COG Financial Services Limited
COH,Cochlear Limited
COI,Comet Ridge Limited
COJ,Commstrat Limited
COL,Coles Group Limited
COO,Corum Group Limited
CORE,ETFS Global Core Infrastructure ETF
COS,COSOL Limited
COU,Count Financial Limited
COV,Corvette Resources Limited
COY,Coppermoly Limited
CP1,CannPal Animal Therapeutics Limited
CPA,Commonwealth Property Office Fund
CPH,Creso Pharma Limited
CPI,CPI Group Limited
CPK,CP1 Limited
CPL,Coalspur Mines Limited
CPM,Cooper Metals Limited
CPN,Caspin Resources Limited
CPN2,Carpathian Resources Limited
CPO,Culpeo Minerals Limited
CPR,CLIVPEE Limited
CPS,Computronics Holdings Limited
CPT,Cipherpoint Limited
CPU,Computershare Limited
CPV,ClearVue Technologies Limited
CQC,Cuesta Coal Limited
CQE,Charter Hall Social Infrastructure REIT
CQO,Charter Hall Office REIT
CQR,Charter Hall Retail REIT
CQT,Conquest Mining Limited
CR1,Constellation Resources Limited
CR9,Corella Resources Ltd
CRB,Carbine Resources Limited
CRC,Cortona Resources Limited
CRD,Conrad Asia Energy Ltd
